,img_name,p_sr,p_p_sh,p_p_cn,p_cv_stsh,p_cv_sh,p_cv_mlsh,p_cv_hib
0,cas_240403175851058_000225.png,34.41020211111408,33.41865842562952,28.94204887486856,28.913301814335426,29.345507928889276,31.57278221203143,28.191867935347517
1,dota_P1557_4.png,50.29949648224054,46.201237378463304,29.732162745614943,31.60495331196957,33.37243105611624,40.06139859027716,27.24869818248676
2,dota_P8287_5.png,31.52148111694234,30.968562142909505,28.204810549711024,28.442553979815628,28.719248988487443,29.921685686513044,27.77040021755699
3,dota_P2608_3.png,33.20270365949983,32.239881152043786,28.13467626038559,28.900754805713763,29.331224128308016,30.92910862290276,27.73104759675336
4,dota_P1075_4.png,31.890708859256893,31.52383019412563,28.774288760498827,28.602310275970545,28.980471214756914,30.473422718708928,27.76123405360169
5,dota_P1212_3.png,48.48544624713312,46.67953139331633,44.324517618345666,32.59200532719557,34.91989581497328,41.22527791099052,27.487704027171375
6,vv_240308163851596_000115.png,30.550762738069164,30.34880686864923,28.156540555102104,28.243435394268225,28.46089071504702,29.56573444620641,27.84453273565772
7,k3a_240401191159261_000454.png,31.259089612629044,31.120537937749532,28.920817081226787,28.66828336514864,28.9899555725416,30.36695536998561,28.42058039688188
8,A25_240403023351980_000035.png,34.925033490587744,34.127214024496304,29.261973789236233,28.87401275115178,29.43322677032484,32.22187082827624,27.645224424292433
9,vv_240308180800374_000138.png,31.216134820508504,30.844064604928043,28.48177949619722,28.299049452626207,28.539252914942285,29.816875348975476,27.902569790905506
10,dota_P1230_4.png,37.22210567640941,34.77374760145474,30.865998658716038,28.61883125674112,29.058672471029617,31.675299271773383,27.592932673663725
11,k3a_240401193128686_000147.png,32.07736812158373,31.834181551364594,28.710390693647582,28.711947648510762,29.13270750593036,30.889423580454856,27.934070479821504
12,dota_P0897_1.png,30.340597892042922,30.309597959391827,30.132790041384926,28.28669218183764,28.54991602788937,29.649372286029273,28.248415202744972
13,cas_240403151918974_000275.png,34.19097047678832,33.24185326735774,28.486372008211987,28.67399961762421,29.098587671213032,31.30769037055822,28.061790567796116
14,A25_240402234716658_000034.png,34.63971833818627,33.899698522404805,28.16498449617981,29.09869335876206,29.707445190838115,32.31810313748051,27.617844113509086
15,vv_240308173636168_000168.png,32.48405597889038,32.21911220740403,28.971609606042485,28.517887940390025,28.905908995543864,30.882500715572142,27.879462899775334
16,k3a_240401195325350_000350.png,31.63598633369982,31.422398723216833,28.46886169068176,28.66001455228574,29.049990046341875,30.567709086898233,27.977366128102858
17,k3a_240401191113916_000324.png,30.99679689535329,30.799075356102023,29.308002704351978,28.431746728206242,28.756353427495235,30.11872907065259,28.1391403706675
18,dota_P1268_4.png,44.6593521574837,42.07488427339136,30.56122479882938,31.459348825160678,32.67180818384282,37.391068788096,27.358168322626604
19,A50_240402110744427_000019.png,34.86838165798058,34.29449493916504,31.209688919343787,29.223016471147155,29.8998573827325,32.68234446467896,27.413824725317852
20,dota_P1770_12.png,47.28658022143992,43.00190298054031,32.33122151725449,30.295049884306273,31.530968212650684,37.51002270390479,27.629135206186362
21,vv_240308173937123_000077.png,30.731981698037117,30.80008225918308,30.25304415445956,28.76303187451669,29.06809630307732,30.311466877527234,28.776493968434124
22,k3a_240401204457884_000307.png,31.241797515730756,31.07467991571514,28.820373862794124,28.382188043013063,28.680041104078605,30.10135033419178,27.959693281345537
