,img_name,p_sr,p_p_sh,p_p_cn,p_cv_stsh,p_cv_sh,p_cv_mlsh,p_cv_hib
0,TX06_240729114830653_000010.png,31.33011503830386,31.44442465136595,29.80985595699479,29.924500912506833,30.2044049307447,31.14237579503156,29.967336222773305
1,TX_240729120246583_000070.png,29.441213400291645,29.754449479597778,29.369542573522274,29.255368325973752,29.33816109269893,29.66215923198444,29.300842905792507
2,K5_240729125406913_000315.png,34.38206519758574,34.05871815108035,33.72036391589257,31.671736471722337,31.950267285443452,33.11691201455733,31.642074134699293
3,K5_240729125928893_000010.png,28.436561067203947,28.53483448895531,28.482813496699876,28.36150484108568,28.365136339694654,28.42073942211914,28.404411199018455
4,IE_240729115149374_000004.png,28.072575352224604,28.5563573413137,29.37846477670044,31.75751608128238,31.474107036006103,29.85922476816755,34.456407500899246
5,K5_240729124617699_000055.png,29.197206398063734,29.48369193141375,29.612226609048662,29.543606844816615,29.548917624332795,29.51106782636716,29.543742228859156
6,IE_240729115152711_000003.png,28.351185755338864,28.56028427854384,28.641072629023135,28.43912693819921,28.47165361447182,28.746338580387434,28.44481614487602
7,K5_240729125936498_000071.png,28.987989624958313,29.064868939325574,28.942804972313727,28.733378377815505,28.750824242780716,28.87405203691553,28.770360091155737
8,K5_240729124912911_000036.png,29.92751475584445,29.776686582981128,29.458750321049298,28.93795276654895,28.99006230054561,29.40782209399125,28.963155990937587
9,K5_240729130159353_000069.png,28.41512791633142,28.718535755395965,28.85021600468333,29.09074934674552,29.10098664930025,28.920862241013957,28.97918981731392
10,TX_240729115603118_000026.png,28.42613644816825,28.689638847738607,28.457675425846976,28.24830646315762,28.293338023090215,28.622646848766877,28.33330710816563
11,TX_240729115639139_000062.png,28.73751854936977,29.051340222577906,28.790195861013377,28.73650020675133,28.778473392033174,29.036416897240265,28.78298380276037
12,K5_240729124633071_000028.png,28.762903243683397,29.2239696200973,29.343033650862786,29.256270245006128,29.292138841656936,29.332597423894036,29.179479606877567
13,K5_240729124637565_000062.png,29.264229629426964,29.743896140740524,29.862950539285723,29.764380198124293,29.797029769460572,29.849528979300842,29.65254615027866
14,K5_240729125241079_000334.png,32.844308630919215,32.60074402500977,32.18322584739259,30.66640443294462,30.86015525200225,31.793048465488415,30.658399576539452
15,IE_240729115148847_000000.png,27.772314923502105,28.127848381567524,28.772121221880163,31.716877137781022,31.3554511689428,29.54667825065713,33.802129436402275
16,K5_240729125241885_000340.png,32.29639793756165,32.07432121147553,31.68578349891095,30.304525210783495,30.471741651897855,31.32115705324725,30.315135443099138
17,TX_240729114952502_000080.png,27.958692080980146,28.199506498884617,28.206862496572313,28.225569836604834,28.22832768947702,28.296403685137474,28.26335296906447
18,IE_240729115046657_000011.png,28.110902624917703,28.27576637433772,28.29905306912604,28.24031999112743,28.26467428597015,28.418409911948824,28.268956764453456
19,TX_240729115042825_000037.png,29.568691126563884,29.833793903285326,29.43477580920442,29.230504432788614,29.325095123713496,29.707452713419368,29.263569762235573
20,K5_240729130417878_000095.png,29.531062060739394,29.72569898633472,29.75318221189328,29.669974050070202,29.66959617086725,29.678784698912636,29.62616477510824
21,K5_240729125058878_000096.png,30.56474316565406,30.871446302483587,30.90222842182721,30.980801609811735,31.03305048304129,30.990404244918295,30.98156222185556
22,K5_240729124716915_000021.png,28.943978264892856,29.13207757871744,29.19799543797787,29.178877163693713,29.171796436432032,29.12940242335746,29.151142848003406
23,TX_240729114824289_000020.png,28.26379425069209,28.50794451858342,28.474849295087672,28.37408786839779,28.394378159914368,28.582634157363252,28.419545391880124
24,K5_240729130157908_000059.png,28.737411357533343,29.055449606295724,29.192036294613928,29.397015946702147,29.416571057821773,29.247421097660492,29.3075012426751
